observation_date,homeowner_vacancy,year,quarter,rental_vacancy
1956-01-01,1.0,1956,1,6.2
1956-04-01,1.0,1956,2,5.9
1956-07-01,1.1,1956,3,6.3
1956-10-01,0.9,1956,4,5.8
1957-01-01,0.9,1957,1,5.3
1957-04-01,1.0,1957,2,5.3
1957-07-01,0.9,1957,3,5.7
1957-10-01,1.0,1957,4,5.8
1958-01-01,1.2,1958,1,6.3
1958-04-01,1.2,1958,2,6.5
1958-07-01,1.2,1958,3,6.3
1958-10-01,1.2,1958,4,6.6
1959-01-01,1.1,1959,1,6.8
1959-04-01,1.3,1959,2,7.3
1959-07-01,1.2,1959,3,7.2
1959-10-01,1.1,1959,4,7.0
1960-01-01,1.2,1960,1,8.0
1960-04-01,1.3,1960,2,8.0
1960-07-01,1.3,1960,3,8.3
1960-10-01,1.3,1960,4,8.4
1961-01-01,1.3,1961,1,8.9
1961-04-01,1.5,1961,2,8.8
1961-07-01,1.5,1961,3,8.6
1961-10-01,1.3,1961,4,8.5
1962-01-01,1.3,1962,1,8.5
1962-04-01,1.4,1962,2,8.1
1962-07-01,1.4,1962,3,8.0
1962-10-01,1.5,1962,4,8.1
1963-01-01,1.5,1963,1,8.0
1963-04-01,1.5,1963,2,8.2
1963-07-01,1.7,1963,3,8.3
1963-10-01,1.5,1963,4,8.3
1964-01-01,1.4,1964,1,8.1
1964-04-01,1.5,1964,2,8.1
1964-07-01,1.5,1964,3,8.4
1964-10-01,1.5,1964,4,8.3
1965-01-01,1.7,1965,1,8.5
1965-04-01,1.5,1965,2,8.2
1965-07-01,1.6,1965,3,7.8
1965-10-01,1.5,1965,4,8.5
1966-01-01,1.5,1966,1,8.3
1966-04-01,1.5,1966,2,7.4
1966-07-01,1.4,1966,3,7.4
1966-10-01,1.3,1966,4,7.7
1967-01-01,1.4,1967,1,7.3
1967-04-01,1.3,1967,2,6.9
1967-07-01,1.4,1967,3,7.0
1967-10-01,1.3,1967,4,6.2
1968-01-01,1.1,1968,1,6.1
1968-04-01,1.1,1968,2,6.2
1968-07-01,1.2,1968,3,5.9
1968-10-01,1.2,1968,4,5.4
1969-01-01,1.0,1969,1,5.6
1969-04-01,1.0,1969,2,5.7
1969-07-01,1.1,1969,3,5.5
1969-10-01,1.0,1969,4,5.1
1970-01-01,1.0,1970,1,5.4
1970-04-01,1.0,1970,2,5.4
1970-07-01,1.1,1970,3,5.3
1970-10-01,1.1,1970,4,5.2
1971-01-01,1.0,1971,1,5.3
1971-04-01,0.9,1971,2,5.3
1971-07-01,1.0,1971,3,5.6
1971-10-01,1.0,1971,4,5.6
1972-01-01,1.0,1972,1,5.3
1972-04-01,1.0,1972,2,5.5
1972-07-01,0.9,1972,3,5.8
1972-10-01,1.0,1972,4,5.6
1973-01-01,1.0,1973,1,5.7
1973-04-01,0.9,1973,2,5.8
1973-07-01,1.1,1973,3,5.8
1973-10-01,1.2,1973,4,5.8
1974-01-01,1.2,1974,1,6.2
1974-04-01,1.1,1974,2,6.3
1974-07-01,1.2,1974,3,6.2
1974-10-01,1.3,1974,4,6.0
1975-01-01,1.2,1975,1,6.1
1975-04-01,1.2,1975,2,6.3
1975-07-01,1.4,1975,3,6.2
1975-10-01,1.2,1975,4,5.4
1976-01-01,1.2,1976,1,5.5
1976-04-01,1.2,1976,2,5.8
1976-07-01,1.3,1976,3,5.7
1976-10-01,1.2,1976,4,5.3
1977-01-01,1.3,1977,1,5.1
1977-04-01,1.3,1977,2,5.3
1977-07-01,1.1,1977,3,5.4
1977-10-01,1.0,1977,4,5.1
1978-01-01,1.0,1978,1,5.0
1978-04-01,0.9,1978,2,5.1
1978-07-01,1.0,1978,3,5.0
1978-10-01,1.1,1978,4,5.0
1979-01-01,1.1,1979,1,5.1
1979-04-01,1.1,1979,2,5.5
1979-07-01,1.2,1979,3,5.7
1979-10-01,1.3,1979,4,5.4
1980-01-01,1.3,1980,1,5.2
1980-04-01,1.4,1980,2,5.6
1980-07-01,1.4,1980,3,5.7
1980-10-01,1.4,1980,4,5.0
1981-01-01,1.3,1981,1,5.2
1981-04-01,1.3,1981,2,5.0
1981-07-01,1.5,1981,3,5.0
1981-10-01,1.4,1981,4,5.0
1982-01-01,1.4,1982,1,5.3
1982-04-01,1.6,1982,2,5.1
1982-07-01,1.5,1982,3,5.3
1982-10-01,1.6,1982,4,5.5
1983-01-01,1.4,1983,1,5.7
1983-04-01,1.5,1983,2,5.5
1983-07-01,1.6,1983,3,5.8
1983-10-01,1.6,1983,4,5.5
